Me identifico,Tengo,Argentina,Anos de experiencia,Anos en el puesto actual,Trabajo de,Tipo de contrato,Salario mensual (en tu moneda local),USD,Bruto o neto,Max Cantidad de empleados,Tecnologias que utilizas,Tecnologias que utilizas,Automation o funcional,Tecnologias que utilizas,Tecnologias que utilizas,Tenes guardias,Cuanto cobras por guardia (en tu moneda local),"Porcentaje, bruto o neto",Que tan conforme estas con tu sueldo,Como crees que esta tu sueldo con respecto a Enero 2016,Recibis algun tipo de bono,A que esta atado el bono,Tuviste ajustes por inflacion este ano,De que % fue el ajuste,Cambiaste de empresa en los ultimos 6 meses,Cual fue el principal motivo de cambio,Beneficios extra
Hombre,31 - 33,Provincia de Buenos Aires,5 - 7,4 - 5,SysAdmin / DevOps,Full-Time,10500,696,Neto,10,Linux;Windows,,,,,No,0,Neto,4,5,No,No recibo bono,Uno,20,No,No cambie de empresa,Abono de celular y/o Internet;Horarios flexibles
Hombre,27 - 30,Santa Fe,1 - 2,1 - 2,SysAdmin / DevOps,Full-Time,10500,696,Neto,50,Linux;Windows,,,,,"Si, pasiva",0,Neto,2,2,No,No recibo bono,No,0,No,No cambie de empresa,Capacitaciones y/o cursos;Cuota para universidad;Laptop
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,1 - 2,1 - 2,SysAdmin / DevOps,Full-Time,10500,696,Neto,1001,Windows,,,,,No,0,Bruto,2,1,No,No recibo bono,Uno,30,No,No cambie de empresa,Ninguna de las anteriores
Hombre,27 - 30,Provincia de Buenos Aires,Menos de un ano,Menos de un ano,Developer,Full-Time,10560,700,Neto,10,,Ruby,,,,No,0,Porcentaje de mi sueldo,2,2,No,No recibo bono,No,0,No,No cambie de empresa,Horarios flexibles;Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,21 - 23,Santa Fe,1 - 2,1 - 2,Developer,Full-Time,10600,702,Bruto,50,,.NET;CSS;HTML;Javascript;jQuery;PHP,,,,No,0,Porcentaje de mi sueldo,2,1,No,No recibo bono,Uno,5,No,No cambie de empresa,Abono de celular y/o Internet
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,1 - 2,1 - 2,HelpDesk,Full-Time,10600,702,Neto,50,,,,,,"Si, pasiva",500,Neto,3,2,No,No recibo bono,No,0,No,No cambie de empresa,Aumento por inflacion;Capacitaciones y/o cursos;Sueldo divido en dos pagos por mes
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,1 - 2,1 - 2,HelpDesk,Full-Time,10600,702,Neto,50,,,,,,No,0,Neto,3,4,No,No recibo bono,Uno,53,No,No cambie de empresa,Aumento por inflacion;Bonos por desempeno;Capacitaciones y/o cursos;Clases de idiomas;Descuentos en gimnasios;Horarios flexibles;Laptop;WFH (Trabajar desde casa)
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,Monitoring,Full-Time,10600,702,Neto,50,,,,,,,,,2,2,No,No recibo bono,Uno,20,No,Desafios profesionales,"Capacitaciones y/o cursos;Laptop;Snacks, golosinas, bebidas, etc;WFH (Trabajar desde casa)"
Hombre,24 - 26,Santiago del Estero,5 - 7,6 - 7,Encargado general de IT,Full-Time,10640,705,Bruto,1001,,,,,,,,,2,2,No,No recibo bono,Uno,17,No,No cambie de empresa,Abono de celular y/o Internet
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,3 - 5,Menos de un ano,Developer,Full-Time,10700,709,Neto,200,,CSS;HTML;Javascript;NodeJS,,,,"Si, activa",0,Neto,3,4,Menos de un sueldo,Performance de la compania,Uno,18,No,No cambie de empresa,"Aumento por inflacion;Comidas pagas/subvencionadas;Horarios flexibles;Laptop;Playroom;Snacks, golosinas, bebidas, etc;Viajes al exterior"
Hombre,27 - 30,Santa Fe,3 - 5,3 - 4,Developer,Full-Time,10800,715,Bruto,10,,SQL SERVER,,,,No,0,Neto,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Horarios flexibles;Viaticos
Hombre,27 - 30,Provincia de Buenos Aires,5 - 7,1 - 2,Developer,Part-Time,10800,715,Bruto,10,,CSS;HTML;Javascript;jQuery;PHP,,,,No,0,Neto,3,3,Menos de un sueldo,Performance individual,Uno,33,No,No cambie de empresa,WFH (Trabajar desde casa)
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,1 - 2,1 - 2,Developer,Full-Time,10800,715,Neto,1001,,Cobol :(,,,,No,0,Porcentaje de mi sueldo,1,1,Menos de un sueldo,Performance individual,Dos,25,No,No cambie de empresa,Abono de celular y/o Internet;Bonos por desempeno;Capacitaciones y/o cursos;Descuentos en gimnasios;Horarios flexibles;Laptop;WFH (Trabajar desde casa)
Hombre,27 - 30,Provincia de Buenos Aires,5 - 7,5 - 6,Developer,Full-Time,10800,715,Neto,1001,,HTML;Javascript;jQuery;PHP,,,,No,0,Neto,2,1,No,No recibo bono,Uno,28,No,No cambie de empresa,Ninguna de las anteriores
Hombre,18 - 20,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,HelpDesk,Full-Time,10800,715,Neto,50,,,,,,No,0,Bruto,4,4,No,No recibo bono,Uno,20,Si,Primer empleo,Aumento por inflacion;Capacitaciones y/o cursos;Clases de idiomas
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,3 - 5,1 - 2,HelpDesk,Full-Time,10800,715,Neto,1001,,,,,,"Si, activa",2400,Bruto,3,2,Menos de un sueldo,Mix de las anteriores,Uno,10,Si,Salario,Abono de celular y/o Internet;Descuentos en gimnasios
Hombre,27 - 30,Provincia de Buenos Aires,5 - 7,1 - 2,HelpDesk,Full-Time,10800,715,Neto,1001,,,,,,No,0,Neto,1,1,No,No recibo bono,Dos,27,Si,Mayor comodidad,Aumento por inflacion;Horarios flexibles
Hombre,27 - 30,GBA,3 - 5,2 - 3,Networking,Full-Time,10800,715,Neto,500,,,,,,No,0,Bruto,2,2,No,No recibo bono,Uno,30,No,No cambie de empresa,Horarios flexibles;Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,34 - 36,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,Networking,Part-Time,10800,715,Neto,1001,,,,,,No,0,Porcentaje de mi sueldo,2,2,Un sueldo,Mix de las anteriores,Uno,20,No,No cambie de empresa,Abono de celular y/o Internet;Aumento por inflacion;Bonos por desempeno;Capacitaciones y/o cursos;Clases de idiomas
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,3 - 5,3 - 4,sap bw,Full-Time,10800,715,Neto,1001,,,,,,,,,1,1,No,No recibo bono,Mas de dos,30,No,No cambie de empresa,Abono de celular y/o Internet;Aumento por inflacion;Bonos por desempeno;Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Descuentos en gimnasios;Guarderia;Horarios flexibles;Laptop;WFH (Trabajar desde casa)
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,8 - 10,1 - 2,SysAdmin / DevOps,Part-Time,10800,715,Bruto,50,Linux,,,,,No,0,Porcentaje de mi sueldo,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Horarios flexibles;WFH (Trabajar desde casa)
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,1 - 2,Menos de un ano,SysAdmin / DevOps,Full-Time,10800,715,Neto,1001,Linux;Windows,,,,,No,0,Porcentaje de mi sueldo,2,1,No,No recibo bono,Dos,14,No,No cambie de empresa,Laptop
Hombre,31 - 33,Corrientes,1 - 2,1 - 2,HelpDesk,Full-Time,10843,718,Neto,500,,,,,,"Si, pasiva",0,Neto,2,3,No,No recibo bono,Uno,28,No,No cambie de empresa,Ninguna de las anteriores
Hombre,37 - 40,Catamarca,3 - 5,1 - 2,Automation,Full-Time,10933,724,Neto,500,,,,,,,,,1,1,No,No recibo bono,Uno,10,No,No cambie de empresa,Abono de celular y/o Internet;Capacitaciones y/o cursos;Clases de idiomas;Comidas pagas/subvencionadas;Descuentos en gimnasios;Horarios flexibles;Laptop;WFH (Trabajar desde casa)
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,Developer,Full-Time,10933,724,Neto,1001,,Java,,,,No,0,Porcentaje de mi sueldo,1,1,Menos de un sueldo,Performance individual,No,0,No,No cambie de empresa,"Abono de celular y/o Internet;Bonos por desempeno;Comidas pagas/subvencionadas;Descuentos en gimnasios;Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc);Guarderia;Horarios flexibles;Laptop;Stock options"
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,3 - 5,1 - 2,Analista de base de datos,Full-Time,11000,729,Neto,50,,,,,,,,,2,2,No,No recibo bono,Uno,20,No,No cambie de empresa,Ninguna de las anteriores
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,3 - 5,5 - 6,Designer,Full-Time,11000,729,Neto,10,,,,,,,,,2,2,No,No recibo bono,Uno,10,Si,Desafios profesionales,Ninguna de las anteriores
Hombre,21 - 23,GBA,1 - 2,1 - 2,Designer,Full-Time,11000,729,Neto,1001,,,,,,,,,5,3,Menos de un sueldo,Performance individual,Uno,25,No,No cambie de empresa,Bonos por desempeno;Descuentos en gimnasios;Horarios flexibles;Laptop;Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias);WFH (Trabajar desde casa)
Hombre,27 - 30,Cordoba,5 - 7,Menos de un ano,Developer,Full-Time,11000,729,Neto,10,,.NET;C;C++;HTML;Javascript;jQuery;PHP,,,,No,0,Bruto,2,1,No,No recibo bono,No,0,Si,Salario,Capacitaciones y/o cursos
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,1 - 2,Menos de un ano,Developer,Full-Time,11000,729,Neto,10,,HTML;Javascript;jQuery;PHP,,,,No,0,Porcentaje de mi sueldo,4,5,No,No recibo bono,No,0,Si,Salario,Ninguna de las anteriores
Hombre,27 - 30,GBA,3 - 5,1 - 2,Developer,Freelance,11000,729,Neto,10,,.NET;C++;CSS;HTML;Javascript;PHP;VB *,,,,No,0,Porcentaje de mi sueldo,3,3,No,No recibo bono,Mas de dos,10,No,No cambie de empresa,Aumento por inflacion
Hombre,31 - 33,Provincia de Buenos Aires,3 - 5,Menos de un ano,Developer,Full-Time,11000,729,Neto,10,,CSS;HTML;Javascript;jQuery;PHP,,,,No,0,Neto,3,3,No,No recibo bono,Uno,12,No,No cambie de empresa,Laptop;WFH (Trabajar desde casa)
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,3 - 5,1 - 2,Developer,Full-Time,11000,729,Neto,10,,.NET;C#;HTML;VB *,,,,No,0,Neto,2,2,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,27 - 30,Cordoba,5 - 7,Menos de un ano,Developer,Full-Time,11000,729,Neto,10,,C#;HTML;Javascript;PHP,,,,No,0,Bruto,3,4,No,No recibo bono,No,0,Si,Salario,Bonos por desempeno;Capacitaciones y/o cursos
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,3 - 5,2 - 3,Developer,Part-Time,11000,729,Neto,50,,C;CSS;Go;HTML;Javascript;jQuery;PHP;Python,,,,No,0,Neto,3,4,No,No recibo bono,Uno,25,No,No cambie de empresa,"Aumento por inflacion;Capacitaciones y/o cursos;Clases de idiomas;Horarios flexibles;Snacks, golosinas, bebidas, etc;Vacaciones flexibles (adicionales a las reglamentarias);WFH (Trabajar desde casa)"
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,3 - 5,1 - 2,Developer,Full-Time,11000,729,Neto,50,,PHP,,,,No,0,Neto,3,2,No,No recibo bono,Uno,31,No,No cambie de empresa,Horarios flexibles;Vacaciones flexibles (adicionales a las reglamentarias);WFH (Trabajar desde casa)
Hombre,24 - 26,Provincia de Buenos Aires,3 - 5,2 - 3,Developer,Full-Time,11000,729,Neto,100,,.NET;C;C++;C#;Java;jQuery;PHP;Ruby;VB *,,,,"Si, pasiva",0,Bruto,1,1,No,No recibo bono,Uno,9,No,No cambie de empresa,Ninguna de las anteriores
Hombre,21 - 23,Santa Fe,Menos de un ano,Menos de un ano,Developer,Full-Time,11000,729,Bruto,200,,.NET,,,,No,0,Bruto,3,2,Menos de un sueldo,Performance individual,Dos,10,No,No cambie de empresa,Aumento por inflacion;Bonos por desempeno;Capacitaciones y/o cursos;Clases de idiomas;Descuentos en gimnasios;Guarderia;Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,24 - 26,Provincia de Buenos Aires,Menos de un ano,Menos de un ano,Developer,Full-Time,11000,729,Neto,500,,.NET;C#,,,,No,0,Porcentaje de mi sueldo,2,2,No,No recibo bono,Uno,5,No,No cambie de empresa,"Snacks, golosinas, bebidas, etc"
Hombre,24 - 26,Provincia de Buenos Aires,1 - 2,Menos de un ano,Developer,Full-Time,11000,729,Neto,500,,.NET;Javascript,,,,No,0,Bruto,2,3,Un sueldo,Performance individual,Dos,18,No,No cambie de empresa,Aumento por inflacion;Capacitaciones y/o cursos;Viajes al exterior;WFH (Trabajar desde casa)
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,3 - 5,4 - 5,Developer,Full-Time,11000,729,Neto,500,,C#;HTML;Javascript;jQuery;PHP,,,,No,0,Neto,2,3,No,No recibo bono,Uno,15,No,No cambie de empresa,Capacitaciones y/o cursos;Clases de idiomas;Horarios flexibles
Hombre,24 - 26,Santa Fe,1 - 2,1 - 2,Developer,Full-Time,11000,729,Neto,500,,.NET;C#;CSS;HTML;Java;Javascript;jQuery,,,,No,0,Porcentaje de mi sueldo,2,2,No,No recibo bono,Dos,15,No,No cambie de empresa,"Abono de celular y/o Internet;Aumento por inflacion;Bonos por desempeno;Capacitaciones y/o cursos;Clases de idiomas;Comidas pagas/subvencionadas;Descuentos en gimnasios;Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc);Guarderia;Horarios flexibles;Laptop;Playroom;Snacks, golosinas, bebidas, etc;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior;WFH (Trabajar desde casa)"
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,1 - 2,1 - 2,Developer,Part-Time,11000,729,Neto,1000,,Javascript;Scala,,,,"Si, pasiva",0,Neto,3,2,De uno a tres sueldos,Mix de las anteriores,Uno,15,No,No cambie de empresa,Bonos por desempeno;Clases de idiomas;Horarios flexibles;WFH (Trabajar desde casa)
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,1 - 2,1 - 2,Developer,Part-Time,11000,729,Neto,1000,,Javascript;Scala,,,,"Si, pasiva",0,Neto,3,2,De uno a tres sueldos,Mix de las anteriores,Uno,15,No,No cambie de empresa,Bonos por desempeno;Clases de idiomas;Horarios flexibles;WFH (Trabajar desde casa)
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,1 - 2,1 - 2,Developer,Full-Time,11000,729,Neto,1001,,HTML;Java;Javascript,,,,No,0,Porcentaje de mi sueldo,3,3,No,No recibo bono,Uno,21,No,No cambie de empresa,Capacitaciones y/o cursos;Clases de idiomas;Ninguna de las anteriores
Hombre,18 - 20,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,Developer,Full-Time,11000,729,Neto,1001,,.NET;Javascript,,,,No,0,Porcentaje de mi sueldo,3,4,No,No recibo bono,Uno,10,No,No cambie de empresa,"Abono de celular y/o Internet;Capacitaciones y/o cursos;Descuentos en gimnasios;Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc);Guarderia;Laptop;Vacaciones flexibles (adicionales a las reglamentarias);WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,1 - 2,2 - 3,Developer,Full-Time,11000,729,Neto,1001,,.NET;C#,,,,"Si, pasiva",0.5,Porcentaje de mi sueldo,1,1,Menos de un sueldo,Performance individual,Uno,10,No,No cambie de empresa,Bonos por desempeno;Capacitaciones y/o cursos;Descuentos en gimnasios;Guarderia;Horarios flexibles;Nos pagan la factura de Internet
Hombre,21 - 23,Chaco,3 - 5,2 - 3,Developer,Full-Time,11000,729,Neto,1001,,CSS;HTML;Javascript,,,,No,0,Porcentaje de mi sueldo,2,1,No,No recibo bono,Uno,25,No,No cambie de empresa,Clases de idiomas;Descuentos en gimnasios;Playroom
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,Menos de un ano,Menos de un ano,Developer,Full-Time,11000,729,Neto,1001,,CSS;HTML;Java;Javascript;jQuery,,,,No,0,Neto,2,4,No,No recibo bono,No,0,No,No cambie de empresa,"Capacitaciones y/o cursos;Snacks, golosinas, bebidas, etc"
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,5 - 7,Menos de un ano,Field Support,Full-Time,11000,729,Bruto,10,,,,,,,,,3,3,No,No recibo bono,No,0,Si,Desafios profesionales,Comidas pagas/subvencionadas;Laptop;Viaticos
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,3 - 5,1 - 2,HelpDesk,Freelance,11000,729,Bruto,10,,,,,,No,0,Porcentaje de mi sueldo,5,4,No,No recibo bono,Uno,15,No,No cambie de empresa,Horarios flexibles
Hombre,18 - 20,GBA,Menos de un ano,Menos de un ano,HelpDesk,Full-Time,11000,729,Neto,10,,,,,,No,0,Bruto,5,4,No,No recibo bono,No,0,No,No cambie de empresa,Comidas pagas/subvencionadas;Horarios flexibles;Laptop
Hombre,24 - 26,Santa Fe,1 - 2,1 - 2,HelpDesk,Full-Time,11000,729,Neto,10,,,,,,No,0,Porcentaje de mi sueldo,2,2,No,No recibo bono,Dos,10,No,No cambie de empresa,WFH (Trabajar desde casa)
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,3 - 5,Menos de un ano,HelpDesk,Full-Time,11000,729,Neto,10,,,,,,No,0,Porcentaje de mi sueldo,3,3,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,3 - 5,2 - 3,HelpDesk,Part-Time,11000,729,Neto,50,,,,,,No,0,Neto,2,3,No,No recibo bono,Uno,20,No,No cambie de empresa,"Aumento por inflacion;Horarios flexibles;Snacks, golosinas, bebidas, etc"
Hombre,24 - 26,Ciudad Autonoma de Buenos Aires,3 - 5,4 - 5,HelpDesk,Full-Time,11000,729,Neto,100,,,,,,"Si, pasiva",0,Porcentaje de mi sueldo,3,3,Menos de un sueldo,horas extras,Uno,25,No,No cambie de empresa,Aumento por inflacion;Horarios flexibles
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,3 - 5,1 - 2,HelpDesk,Full-Time,11000,729,Neto,100,,,,,,No,0,Neto,3,3,No,No recibo bono,Uno,18,No,No cambie de empresa,Ninguna de las anteriores
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,3 - 5,1 - 2,HelpDesk,Full-Time,11000,729,Neto,100,,,,,,No,0,Neto,3,3,No,No recibo bono,Uno,18,No,No cambie de empresa,Ninguna de las anteriores
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,3 - 5,1 - 2,HelpDesk,Full-Time,11000,729,Neto,100,,,,,,No,0,Neto,3,3,No,No recibo bono,Uno,18,No,No cambie de empresa,Ninguna de las anteriores
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,3 - 5,1 - 2,HelpDesk,Full-Time,11000,729,Neto,100,,,,,,No,0,Neto,3,3,No,No recibo bono,Uno,18,No,No cambie de empresa,Ninguna de las anteriores
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,3 - 5,4 - 5,HelpDesk,Freelance,11000,729,Bruto,500,,,,,,No,0,Neto,1,1,No,No recibo bono,Uno,10,No,No cambie de empresa,Ninguna de las anteriores
Hombre,24 - 26,Mendoza,1 - 2,Menos de un ano,HelpDesk,Full-Time,11000,729,Bruto,1000,,,,,,No,0,Porcentaje de mi sueldo,2,1,No,No recibo bono,Uno,12,Si,Mayor comodidad,Aumento por inflacion;Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Descuentos en gimnasios
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,5 - 7,2 - 3,HelpDesk,Part-Time,11000,729,Neto,1001,,,,,,No,0,Bruto,2,2,No,No recibo bono,Uno,30,No,No cambie de empresa,Ninguna de las anteriores
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,3 - 5,1 - 2,HelpDesk,Full-Time,11000,729,Neto,1001,,,,,,No,0,Porcentaje de mi sueldo,2,2,No,No recibo bono,Uno,10,No,No cambie de empresa,"Abono de celular y/o Internet;Aumento por inflacion;Descuentos en gimnasios;Horarios flexibles;Laptop;Snacks, golosinas, bebidas, etc;WFH (Trabajar desde casa)"
Hombre,21 - 23,Cordoba,1 - 2,1 - 2,HelpDesk,Full-Time,11000,729,Neto,1001,,,,,,No,0,Bruto,3,3,No,No recibo bono,Uno,20,No,No cambie de empresa,"Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc);Horarios flexibles"
Hombre,37 - 40,Provincia de Buenos Aires,10+,10+,It,Part-Time,11000,729,Bruto,50,,,,,,,,,3,3,No,No recibo bono,Uno,10,No,No cambie de empresa,Comidas pagas/subvencionadas
Hombre,27 - 30,Cordoba,8 - 10,2 - 3,Middleware,Full-Time,11000,729,Neto,200,,,,,,,,,2,2,No,No recibo bono,Uno,12,No,No cambie de empresa,Comidas pagas/subvencionadas
Hombre,21 - 23,San Luis,5 - 7,3 - 4,Middleware,Full-Time,11000,729,Neto,200,,,,,,,,,3,4,No,No recibo bono,Dos,35,No,No cambie de empresa,Aumento por inflacion;Capacitaciones y/o cursos;Laptop
Hombre,21 - 23,GBA,1 - 2,Menos de un ano,Networking,Full-Time,11000,729,Neto,200,,,,,,No,0,Porcentaje de mi sueldo,3,4,No,No recibo bono,No,0,No,No cambie de empresa,"Aumento por inflacion;Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Snacks, golosinas, bebidas, etc;Viaticos"
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,1 - 2,Menos de un ano,QA / Tester,Full-Time,11000,729,Neto,100,,,Funcional,-,,,,,2,2,No,No recibo bono,No,0,No,No cambie de empresa,"Comidas pagas/subvencionadas;Horarios flexibles;Laptop;Playroom;Snacks, golosinas, bebidas, etc;Vacaciones flexibles (adicionales a las reglamentarias);WFH (Trabajar desde casa)"
Hombre,21 - 23,Ciudad Autonoma de Buenos Aires,1 - 2,1 - 2,QA / Tester,Full-Time,11000,729,Neto,500,,,Mix,HP QC,,,,,2,2,No,No recibo bono,Dos,20,No,No cambie de empresa,"Aumento por inflacion;Capacitaciones y/o cursos;Descuentos en gimnasios;Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc);Horarios flexibles;WFH (Trabajar desde casa)"
Hombre,27 - 30,Cordoba,5 - 7,3 - 4,QA / Tester,Full-Time,11000,729,Neto,500,,,Funcional,Test Complete,,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Horarios flexibles
Hombre,27 - 30,Ciudad Autonoma de Buenos Aires,3 - 5,1 - 2,QA / Tester,Full-Time,11000,729,Neto,1001,,,Funcional,HP LoadRunner;Visual Studio Coded UI,,,,,2,1,Menos de un sueldo,Mix de las anteriores,No,0,No,No cambie de empresa,"Abono de celular y/o Internet;Clases de idiomas;Comidas pagas/subvencionadas;Cuota para universidad;Descuentos en gimnasios;Descuentos varios (Clarin 365, Club La Nacion, programas de beneficios, etc);Guarderia;Horarios flexibles;Laptop;Playroom;Snacks, golosinas, bebidas, etc;WFH (Trabajar desde casa)"
Hombre,37 - 40,Santa Fe,3 - 5,1 - 2,soporte sistemas,Full-Time,11000,729,Bruto,100,,,,,,,,,2,1,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
Hombre,24 - 26,Provincia de Buenos Aires,3 - 5,Menos de un ano,Soporte Tecnico,Full-Time,11000,729,Neto,1001,,,,,,,,,2,2,No,No recibo bono,Uno,13,Si,Salario,Comidas pagas/subvencionadas
Hombre,27 - 30,Provincia de Buenos Aires,5 - 7,4 - 5,SysAdmin / DevOps,Part-Time,11000,729,Neto,10,Linux;Windows;Azure;Citrix,,,,,No,0,Bruto,3,1,No,No recibo bono,Uno,20,No,No cambie de empresa,Abono de celular y/o Internet;Laptop;Vacaciones flexibles (adicionales a las reglamentarias);Viaticos;Vehiculo
Hombre,41 - 45,Jujuy,8 - 10,2 - 3,SysAdmin / DevOps,Full-Time,11000,729,Neto,50,Linux;Solaris;Windows,,,,,"Si, activa",0,Porcentaje de mi sueldo,3,2,No,No recibo bono,No,0,No,No cambie de empresa,Abono de celular y/o Internet
Hombre,31 - 33,Ciudad Autonoma de Buenos Aires,8 - 10,7 - 8,SysAdmin / DevOps,Full-Time,11000,729,Neto,50,Windows;VMWare;Cisco,,,,,"Si, pasiva",0,Neto,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Abono de celular y/o Internet
Hombre,37 - 40,Mendoza,5 - 7,1 - 2,SysAdmin / DevOps,Freelance,11000,729,Neto,50,Linux;Windows;VMWare,,,,,No,0,Porcentaje de mi sueldo,2,1,No,No recibo bono,No,0,No,No cambie de empresa,Horarios flexibles
Hombre,24 - 26,Cordoba,3 - 5,2 - 3,SysAdmin / DevOps,Full-Time,11000,729,Neto,100,Windows;Azure;VMWare;Citrix provisioning,,,,,"Si, pasiva",0,Neto,2,2,No,No recibo bono,Uno,30,No,No cambie de empresa,Capacitaciones y/o cursos
Hombre,24 - 26,Mendoza,3 - 5,1 - 2,SysAdmin / DevOps,Full-Time,11000,729,Neto,1000,Linux;Windows;OpenStack;VMWare;Rohill,,,,,"Si, pasiva",0,Bruto,2,2,Menos de un sueldo,Performance de la compania,Uno,35,No,No cambie de empresa,Ninguna de las anteriores
Hombre,37 - 40,San Juan,10+,7 - 8,SysAdmin / DevOps,Part-Time,11000,729,Neto,1001,Linux;Windows,,,,,No,0,Bruto,3,1,No,No recibo bono,Uno,32,No,No cambie de empresa,Horarios flexibles;Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,31 - 33,GBA,5 - 7,5 - 6,SysAdmin / DevOps,Full-Time,11000,729,Neto,1001,Windows;VMWare,,,,,"Si, pasiva",1400,Neto,1,1,No,No recibo bono,Uno,12,No,No cambie de empresa,Horarios flexibles;Sueldo divido en dos pagos por mes;WFH (Trabajar desde casa)
Hombre,21 - 23,San Luis,Menos de un ano,Menos de un ano,SysAdmin/HelpDesk,Full-Time,11000,729,Neto,50,,,,,,,,,5,5,Menos de un sueldo,Mix de las anteriores,No,0,No,No cambie de empresa,"Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Horarios flexibles;Laptop;Snacks, golosinas, bebidas, etc;WFH (Trabajar desde casa)"
Hombre,27 - 30,Provincia de Buenos Aires,8 - 10,1 - 2,Tecnico de pc,Full-Time,11000,729,Neto,50,,,,,,,,,3,3,No,Performance individual,Uno,20,No,Salario,Ninguna de las anteriores
Mujer,24 - 26,Santiago del Estero,3 - 5,2 - 3,Developer,Freelance,11000,729,Neto,10,,.NET;C#;CSS;HTML;Javascript;jQuery,,,,No,0,Bruto,2,4,No,No recibo bono,Dos,15,No,No cambie de empresa,Aumento por inflacion;WFH (Trabajar desde casa)
Hombre,24 - 26,Provincia de Buenos Aires,5 - 7,5 - 6,HelpDesk,Full-Time,11060,733,Neto,500,,,,,,"Si, pasiva",0,Porcentaje de mi sueldo,2,2,No,No recibo bono,Uno,15,No,No cambie de empresa,Abono de celular y/o Internet;Horarios flexibles
Hombre,27 - 30,San Luis,3 - 5,3 - 4,Networking,Full-Time,11100,735,Neto,100,,,,,,"Si, pasiva",0,Bruto,2,1,No,No recibo bono,Dos,40,No,No cambie de empresa,Aumento por inflacion;Laptop
Hombre,34 - 36,Ciudad Autonoma de Buenos Aires,8 - 10,2 - 3,Incident Manager,Full-Time,11181,741,Neto,1001,,,,,,,,,1,1,No,No recibo bono,No,0,No,No cambie de empresa,Ninguna de las anteriores
