Me identifico,Tengo,Dónde estás trabajando,Años de experiencia,Años en la empresa actual,Años en el puesto actual,¿Gente a cargo?,Nivel de estudios alcanzado,Estado,Carrera,Universidad,Realizaste cursos de especialización,¿Contribuís a proyectos open source?,¿Programás como hobbie?,Trabajo de,Plataformas,Lenguajes de programación,"Frameworks, herramientas y librerías",Bases de datos,QA / Testing,IDEs,¿Qué SO usás en tu laptop/PC para trabajar?,¿Y en tu celular?,¿Tenés guardias?,Cuánto cobrás por guardia,"¿Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual BRUTO (en tu moneda local),Salario mensual NETO (en tu moneda local),¿Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto al último semestre,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste ajustes por inflación en lo que va de 2019?,¿De qué % fue el ajuste?,¿En qué mes fue el último ajuste?,¿Sufriste o presenciaste situaciones de violencia laboral?,Orientación sexual,¿Tenés algún tipo de discapacidad?,¿Sentís que esto te dificultó el conseguir trabajo?,¿A qué eventos de tecnología asististe en el último año?,Cantidad de empleados,Actividad principal,¿La recomendás como un buen lugar para trabajar?,¿Cómo calificás las políticas de diversidad e inclusión?,¿A cuántos kilómetros de tu casa queda la oficina?,Beneficios extra,"¿Cuáles considerás que son las mejores empresas de IT para trabajar en este momento, en tu ciudad?"
Hombre,35,Santa Fe,15,10,10,1,Terciario,Completado,Analista de Sistemas,,"Sí, de forma particular, Sí, los pagó un empleador",Sí,Sí,Developer,"Heroku, Linux, VMWare, Windows Server","CSS, HTML, Javascript, PHP, SQL, Progress","Angular, Bootstrap, Cordova, jQuery, Node.js, WordPress","MongoDB, MySQL, Redis, Progress",,Visual Studio Code,Linux,Android,"Sí, pasiva",0,Porcentaje de mi sueldo,Freelance,50000,,3,2,No,No recibo bono,No,0,0,Jamás,Heterosexual,,No,Google Cloud Summit,1-10,Servicios / Consultoría de Software / Digital,5,7,3,"Horarios flexibles, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,28,Ciudad Autónoma de Buenos Aires,6,0,0,0,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,No,Developer,"Azure, Serverless",".NET, C#",.NET Core,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",NUnit,"Visual Studio, Visual Studio Code",Windows,Android,No,0,Bruto,Full-Time,50118,41500,3,3,No,No recibo bono,Uno,20,4,Jamás,Heterosexual,,,EVA 2018,101-200,Servicios / Consultoría de Software / Digital,9,9,50,"Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)","Southworks, Etermax"
Hombre,33,Santa Fe,9,9,6,0,Universitario,Incompleto,Ingeniería Electrónica,UNR - Universidad Nacional de Rosario,No,Sí,Sí,Developer,"Docker, Linux","Bash/Shell, Perl, Python",web2py,"Informix, MariaDB, Redis, SQLite",,Sublime Text,Linux,Android,No,0,Porcentaje de mi sueldo,Full-Time,50359,38896,1,1,No,No recibo bono,Más de dos,19,6,En mi trabajo actual,Heterosexual,,,"pyday, pycon, pycamp",10001+,Otras industrias,3,5,14,Horarios flexibles,ni idea
Mujer,25,Ciudad Autónoma de Buenos Aires,5,4,4,0,Universitario,En curso,Ingeniería en Informática,UNLaM - Universidad Nacional de La Matanza,No,No,No,Developer,"Docker, Linux","Java, SQL, Pl sql",Dropwizard,"Oracle, PostgreSQL","JUnit, Postman","IntelliJ, Oracle forms",Windows,Android,No,0,Porcentaje de mi sueldo,Full-Time,50490,,3,3,No,No recibo bono,Uno,27,3,Jamás,Heterosexual,,No,,11-50,Producto basado en Software,6,8,30,WFH (Trabajar desde casa),"Despegar, mercadolibre"
Hombre,26,Ciudad Autónoma de Buenos Aires,1,2,0,0,Secundario,Completado,,,"Sí, de forma particular, Sí, los pagó un empleador",No,No,SysAdmin / DevOps / SRE,"Amazon Web Services, Docker, Kubernetes, Linux, VMWare","Bash/Shell, SQL",,"MariaDB, MongoDB, MySQL, Redis",,"Sublime Text, Vi, Vim",Linux,iOS,No,0,Bruto,Full-Time,50500,41700,3,2,No,No recibo bono,Uno,21,3,Jamás,Heterosexual,,,,101-200,Producto basado en Software,8,8,1,"Capacitaciones y/o cursos, Clases de idiomas, Gimnasios gratuitos / subvencionados, Horarios flexibles, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)",
Hombre,25,Córdoba,3,1,1,0,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,No,No,Sí,QA / Tester,,"Java, Javascript",,,"Cucumber, JUnit, Postman, Selenium",IntelliJ,Windows,Android,No,0,Porcentaje de mi sueldo,Full-Time,50500,42000,2,2,No,No recibo bono,Uno,25,1,Jamás,Heterosexual,,,Facebook developer circles,201-500,Servicios / Consultoría de Software / Digital,6,7,45,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Gimnasios gratuitos / subvencionados, Descuentos varios (Clarín 365, Club La Nación, etc), Sueldo divido en dos pagos por mes",
Hombre,37,Ciudad Autónoma de Buenos Aires,12,2,2,0,Universitario,Completado,Profesorado en Historia,UBA - Universidad de Buenos Aires,"Sí, de forma particular",No,No,QA / Tester,Linux,SQL,,"MSSQL, Teradata","HPQC, Jira",Notepad++,Windows,Android,No,0,Porcentaje de mi sueldo,Full-Time,50600,42000,3,3,No,No recibo bono,Uno,15,3,Jamás,Heterosexual,,,,501-1000,Servicios / Consultoría de Software / Digital,8,5,20,"Descuentos varios (Clarín 365, Club La Nación, etc), Snacks, golosinas, bebidas, WFH (Trabajar desde casa)",Intraway 
Hombre,24,Ciudad Autónoma de Buenos Aires,2,2,1,0,Universitario,Completado,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,No,Sí,Sí,Infosec,Linux,Python,,,,Sublime Text,Linux,Android,No,0,Porcentaje de mi sueldo,Full-Time,50600,42000,3,2,Menos de un sueldo,Performance grupal,No,0,0,Jamás,Heterosexual,,,,11-50,Servicios / Consultoría de Software / Digital,3,5,3,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Gimnasios gratuitos / subvencionados, Horarios flexibles, Viajes al exterior",
Hombre,33,Santa Fe,11,0,10,0,Universitario,Incompleto,Licenciatura en Ciencias dela Computación,UNR - Universidad Nacional de Rosario,"Sí, los pagó un empleador",No,Sí,SysAdmin / DevOps / SRE,"Amazon Web Services, Docker, Linux","Bash/Shell, HTML, PHP, Python, SQL","Laravel, Node.js, Symfony","MariaDB, MySQL, Percona XtraBackup, Redis, SQLite","PHPUnit, Postman","PyCharm, Vim",Linux,Android,No,0,Bruto,Full-Time,50600,42000,3,2,No,No recibo bono,Uno,20,6,En un trabajo anterior,Heterosexual,,,,11-50,Producto basado en Software,8,8,1,"Capacitaciones y/o cursos, Gimnasios gratuitos / subvencionados, Horarios flexibles",
Mujer,33,Ciudad Autónoma de Buenos Aires,6,1.5,1.5,0,Terciario,Completado,Analista de Sistemas,ESBA - Escuela Superior Buenos Aires,"Sí, de forma particular",Sí,No,Consultant,,"HTML, PHP, SQL",Bootstrap,"MSSQL, MySQL, PostgreSQL",,"IPython / Jupyter, Notepad++",Windows,iOS,No,0,Porcentaje de mi sueldo,Full-Time,50600,,2,2,No,No recibo bono,No,0,0,En un trabajo anterior,Heterosexual,,,,201-500,Servicios / Consultoría de Software / Digital,8,8,18,"Capacitaciones y/o cursos, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)",
Hombre,23,Ciudad Autónoma de Buenos Aires,1,2,1,0,Universitario,En curso,Ingeniería Electrónica,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",Sí,Sí,Developer,,"CSS, HTML, Javascript, PHP","jQuery, Magento",MySQL,,"Sublime Text, Visual Studio Code",Windows,Android,No,0,Porcentaje de mi sueldo,Full-Time,50602,42000,3,2,Menos de un sueldo,Performance de la compañía,Uno,20,5,En mi trabajo actual,Heterosexual,,,,101-200,Servicios / Consultoría de Software / Digital,6,9,2.5,"Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, WFH (Trabajar desde casa)",MERCADO LIBRE
Hombre,22,Córdoba,1,1,1,0,Terciario,En curso,Analista de Sistemas,UTN - Universidad Tecnológica Nacional,No,No,No,BI Analyst / Data Analyst,VMWare,,,,,,Windows,Android,"Sí, activa",1000,Neto,Full-Time,51000,41000,2,3,Menos de un sueldo,Performance individual,Uno,18,3,Jamás,Heterosexual,,,,11-50,Producto basado en Software,4,7,7,Ninguna de las anteriores,Desconozco
Hombre,30,Entre Ríos,3,0,0,0,Universitario,En curso,Ingeniería en Informática,UNL - Universidad Nacional del Litoral,"Sí, de forma particular, Sí, los pagó un empleador",No,Sí,Developer,"Docker, Linux","Dart, Java, Javascript, PHP","Laravel, Node.js, React.js, Vue.js","Oracle, PostgreSQL",Jest,Visual Studio Code,Windows,Android,No,0,Porcentaje de mi sueldo,Full-Time,51000,41000,2,2,Un sueldo,Performance individual,Uno,14,5,Jamás,Heterosexual,,,,201-500,Servicios / Consultoría de Software / Digital,8,8,10,"Gimnasios gratuitos / subvencionados, WFH (Trabajar desde casa)","Mercado libre,"
Hombre,23,Ciudad Autónoma de Buenos Aires,3,2,2,0,Secundario,Completado,,,"Sí, de forma particular",Sí,Sí,Developer,Firebase,"Dart, Javascript, TypeScript","Angular, Bootstrap, Cordova, Flutter, jQuery, Node.js","Amazon DynamoDB, MySQL, SQLite","Postman, SoapUI","Android Studio, Visual Studio Code",Windows,Android,No,0,Bruto,Tercerizado (trabajo a través de consultora o agencia),51000,42000,3,3,No,No recibo bono,Uno,40,0,En un trabajo anterior,,,,,5001-10000,Otras industrias,7,7,10,Horarios flexibles,
Hombre,24,Ciudad Autónoma de Buenos Aires,6,1,1,0,Universitario,En curso,Analista de Sistemas,ORT,No,No,Sí,SysAdmin / DevOps / SRE,"Linux, VMWare, Windows Server","Bash/Shell, Python",,MySQL,,,Mac OS X,Android,"Sí, pasiva",0,Neto,Full-Time,51000,42000,2,2,De uno a tres sueldos,Performance de la compañía,No,0,0,Jamás,Heterosexual,,No,,5001-10000,Otras industrias,9,8,3,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Gimnasios gratuitos / subvencionados, Guardería, Horarios flexibles, Masajes, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)",
Hombre,26,Ciudad Autónoma de Buenos Aires,5,2,2,0,Terciario,En curso,Ingeniería en Informática,UAI - Universidad Abierta Interamericana,"Sí, los pagó un empleador",No,No,QA / Tester,"Mainframe, Windows Server",Javascript,,"MySQL, Oracle","Selenium, SoapUI, Katalon, postman",,Windows,Android,No,0,Bruto,Full-Time,51000,42100,3,3,No,No recibo bono,Dos,16,6,Jamás,Heterosexual,,,,201-500,Producto basado en Software,7,5,12,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Estacionamiento gratuito / subvencionado, Horarios flexibles, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)",
Mujer,28,Entre Ríos,5,5,5,0,Universitario,Completado,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular, Sí, los pagó un empleador",No,No,Developer,Windows Server,"HTML, Javascript, SQL",jQuery,Oracle,,,Windows,Android,No,0,Porcentaje de mi sueldo,Full-Time,51000,42500,3,3,No,No recibo bono,Dos,33,6,Jamás,Heterosexual,,No,,1-10,Producto basado en Software,5,10,-1,"Viáticos, WFH (Trabajar desde casa)",
Hombre,29,GBA,5,0,5,0,Universitario,En curso,Ingeniería en Sistemas de Información,UCAECE - Centro de Altos Estudios en Ciencias Exactas,No,No,Sí,Developer,"Docker, Firebase","Elixir, Erlang, Javascript, Ruby, SQL","jQuery, Rails, React.js","Cassandra, ElasticSearch, MariaDB, MSSQL, MongoDB, MySQL, PostgreSQL, Redis",,"Atom, IntelliJ, Visual Studio Code",Mac OS X,Android,No,0,Porcentaje de mi sueldo,Part-Time,51000,42500,3,2,No,No recibo bono,Uno,17,5,Jamás,Heterosexual,,,,11-50,Servicios / Consultoría de Software / Digital,9,9,4,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Clases de idiomas, Gimnasios gratuitos / subvencionados, Horarios flexibles, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, WFH (Trabajar desde casa)",
Hombre,28,Ciudad Autónoma de Buenos Aires,8,2,2,0,Secundario,Completado,Tecnicatura Superior en Programación,,No,No,Sí,Developer,"Amazon Web Services, Docker, Linux","Bash/Shell, CSS, Javascript","Node.js, React.js, WordPress","ElasticSearch, MongoDB, MySQL, Redis",Puppeteer,Visual Studio Code,Linux,Android,No,0,Porcentaje de mi sueldo,Full-Time,51000,43000,3,3,No,No recibo bono,Uno,10,3,Jamás,Heterosexual,,,,51-100,Producto basado en Software,8,9,15,"Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles",
Hombre,26,Ciudad Autónoma de Buenos Aires,5,0,0,0,Universitario,En curso,Licenciado en Redes,UP - Universidad de Palermo,No,No,No,Networking,"Amazon Web Services, Linux, Windows Server",,,"MySQL, Oracle",,,Windows,Android,No,0,Porcentaje de mi sueldo,Full-Time,51000,43000,4,4,Un sueldo,Performance individual,Uno,14,6,En un trabajo anterior,Heterosexual,,No,,201-500,Producto basado en Software,10,10,33,"Capacitaciones y/o cursos, Clases de idiomas, Gimnasios gratuitos / subvencionados, Horarios flexibles, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)",
Mujer,47,Ciudad Autónoma de Buenos Aires,22,3,2,1,Posgrado,Completado,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular, Sí, los pagó un empleador",No,No,Consultant,ERP SAP Finanzas & Concur Integration ,,,,,,Windows,Android,No,0,Bruto,Part-Time,51000,43000,1,2,No,No recibo bono,Uno,15,05,En un trabajo anterior,Heterosexual,"parcial, a nivel motriz por inconvenientes en columnas",Sí,,201-500,Servicios / Consultoría de Software / Digital,6,8,15,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)",
Hombre,34,Ciudad Autónoma de Buenos Aires,15,12,6,0,Terciario,Incompleto,Analista de Sistemas,IFTS 9,"Sí, de forma particular, Sí, los pagó un empleador",No,No,BI Analyst / Data Analyst,Windows Server,SQL,,MSSQL,,Visual Studio,Windows,iOS,No,0,Bruto,Full-Time,51000,43000,2,2,Menos de un sueldo,Mix de las anteriores,No,0,0,En un trabajo anterior,Heterosexual,,No,,2001-5000,Otras industrias,3,4,10,"Horarios flexibles, WFH (Trabajar desde casa)",Mercadolibre
Hombre,24,Ciudad Autónoma de Buenos Aires,3,0,3,0,Universitario,En curso,Ingeniería en Informática,UBA - Universidad de Buenos Aires,No,No,No,Developer,Linux,"Java, Javascript, Scala, SQL","Angular, Hibernate, jQuery, Node.js, Spring","Cassandra, ElasticSearch, MariaDB","JUnit, Postman","Atom, IntelliJ, WebStorm",Linux,Android,No,0,Porcentaje de mi sueldo,Full-Time,51000,43000,3,2,De uno a tres sueldos,Mix de las anteriores,Uno,18,3,Jamás,Bisexual o queer,,,,1001-2000,Otras industrias,8,7,10,"Comidas pagas / subvencionadas, Gimnasios gratuitos / subvencionados, Horarios flexibles, Playroom, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)",
Hombre,23,Neuquén,2,2,0,0,Secundario,Completado,Tecnicatura en Programación,,"Sí, de forma particular, Sí, los pagó un empleador",No,No,Developer,"Amazon Web Services, Docker, Google Cloud Platform/App Engine, Heroku, Linux, Serverless","Javascript, Ruby, TypeScript","Bootstrap, Node.js, Rails, React.js","MongoDB, MySQL, PostgreSQL, SQLite",,Visual Studio Code,Linux,Android,No,0,Porcentaje de mi sueldo,Full-Time,51000,43000,3,2,No,No recibo bono,Uno,12,5,En un trabajo anterior,Heterosexual,,No,"Nodeconf, OWASP",11-50,Servicios / Consultoría de Software / Digital,10,10,9,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles",
Hombre,26,Ciudad Autónoma de Buenos Aires,4,2,2,0,Universitario,En curso,Licenciatura en Sistemas de Información,UCAECE - Centro de Altos Estudios en Ciencias Exactas,"Sí, de forma particular",No,No,Developer,"Linux, Windows Server","HTML, Java, Javascript, Perl, PHP, Python, SQL, VBA","Bootstrap, CodeIgniter, jQuery",MSSQL,TFS,"Atom, Notepad++, Sublime Text, Visual Studio",Windows,Android,No,0,Bruto,Full-Time,51000,,2,2,De uno a tres sueldos,Mix de las anteriores,Uno,40,6,Jamás,Heterosexual,,No,,51-100,Otras industrias,6,8,8,"Clases de idiomas, Gimnasios gratuitos / subvencionados, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Masajes, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)",
Hombre,33,GBA,13,11,3,0,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,Sí,SysAdmin / DevOps / SRE,"AIX, Linux","Bash/Shell, HTML, Javascript, PHP","Bootstrap, jQuery, WordPress","IBM Db2, MySQL",,"Vi, Visual Studio Code",Linux,iOS,"Sí, activa",10,Porcentaje de mi sueldo,Full-Time,51000,,3,3,Menos de un sueldo,Performance individual,Uno,16,6,Jamás,Heterosexual,,No,,10001+,Producto basado en Software,9,10,-1,WFH (Trabajar desde casa),
Hombre,25,Río Negro,4,1,1,0,Universitario,Completado,Tecnicatura en Sistemas,UNCOMA - Universidad Nacional del Comahue,"Sí, de forma particular",No,Sí,SysAdmin / DevOps / SRE,"Docker, Linux, Windows Server","Bash/Shell, PHP, Python",,MySQL,,Visual Studio Code,Linux,Android,No,0,Porcentaje de mi sueldo,Full-Time,51099,43146,3,2,No,No recibo bono,Dos,9,6,Jamás,Heterosexual,,No,,51-100,Servicios / Consultoría de Software / Digital,7,7,3,Ninguna de las anteriores,"Justicia, ALTEC S.E"
Hombre,23,Ciudad Autónoma de Buenos Aires,3,3,3,0,Universitario,En curso,Ingeniería en Informática,UBA - Universidad de Buenos Aires,No,No,No,Developer,"Docker, Heroku, Linux","Bash/Shell, CSS, HTML, Java, Javascript, PHP, Python, Ruby, SQL","Bootstrap, Django, jQuery, Rails","Cassandra, ElasticSearch, PostgreSQL",RSpec,"IntelliJ, PyCharm, Sublime Text",Linux,iOS,No,0,Porcentaje de mi sueldo,Part-Time,51100,42800,3,3,No,No recibo bono,Uno,30,3,Jamás,Bisexual o queer,,,,11-50,Servicios / Consultoría de Software / Digital,8,7,4,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)",
Hombre,32,Ciudad Autónoma de Buenos Aires,5,3,3,0,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular, Sí, los pagó un empleador",No,No,Analista Programador SQL,Windows Server,SQL,,MSSQL,,Visual Studio,Windows,Android,No,0,Bruto,Full-Time,51200,42496,1,1,No,No recibo bono,Uno,25,1,Jamás,Homosexual,,No,,201-500,Producto basado en Software,8,8,4,"Capacitaciones y/o cursos, Comidas pagas / subvencionadas, WFH (Trabajar desde casa)",
Hombre,30,San Luis,10,10,9,0,Terciario,Completado,Tecnicatura en Programación,ULP - Universidad de La Punta,"Sí, de forma particular",No,No,Developer,"Linux, Windows Server","ActionScript, Java, Javascript, SQL","Angular, Flask","Informix, MSSQL, Oracle, PostgreSQL",,"Eclipse, NetBeans, Visual Studio Code",Windows,Android,No,0,Bruto,Full-Time,51240,42337,2,2,No,No recibo bono,Uno,18,6,Jamás,Heterosexual,,No,,1-10,Producto basado en Software,6,6,40,"Horarios flexibles, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)",MercadoLibre
Hombre,36,Santa Fe,9,3,3,0,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,No,No,No,QA / Tester,"Docker, Linux",Groovy,,PostgreSQL,"Katalon, Postman, Selenium",Notepad++,Windows,Android,No,0,Porcentaje de mi sueldo,Full-Time,51500,40200,2,2,Un sueldo,Performance de la compañía,Uno,10,4,Jamás,Heterosexual,,No,,101-200,Producto basado en Software,7,8,8,"Abono de celular y/o Internet, Clases de idiomas, Canasta de frutas",
Hombre,41,Santa Fe,8,0,0,0,Terciario,Completado,Analista de Sistemas,Escuela Urquiza,No,No,Sí,Developer,Linux,"Bash/Shell, CSS, HTML, PHP, Python","jQuery, WordPress","MariaDB, MySQL",,Sublime Text,Linux,Android,No,0,Neto,Full-Time,51500,41000,3,3,No,No recibo bono,Uno,15,6,Jamás,Heterosexual,,No,,101-200,Servicios / Consultoría de Software / Digital,8,10,1,"Comidas pagas / subvencionadas, Estacionamiento gratuito / subvencionado, Horarios flexibles, Snacks, golosinas, bebidas, Frutas cafe",
Hombre,31,Ciudad Autónoma de Buenos Aires,3,1,3,0,Universitario,Completado,Ingeniería en Sistemas de Información,,"Sí, de forma particular",No,No,QA / Tester,"Amazon Web Services, Docker, Kubernetes, Linux, VMWare, go, jenkins, cloudfare","CSS, Go, HTML, Java, Javascript","jQuery, Node.js, React.js","MongoDB, PostgreSQL","JUnit, Selenium, SoapUI","Android Studio, IntelliJ, NetBeans, Notepad++, Sublime Text, Visual Studio Code",Linux,Android,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,51500,42600,3,3,No,No recibo bono,Uno,15,3,Jamás,Heterosexual,Motriz,No,,11-50,Producto basado en Software,7,10,6,"Clases de idiomas, Horarios flexibles, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)",
Mujer,25,Ciudad Autónoma de Buenos Aires,3,1,1,0,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,No,Developer,"Docker, Linux","ActionScript, CSS, HTML, Java, Javascript","Bootstrap, React.js, Spring","MSSQL, SQLite",JUnit,IntelliJ,Linux,Android,No,0,Porcentaje de mi sueldo,Part-Time,51515,40000,2,3,De uno a tres sueldos,Mix de las anteriores,Uno,12,1,Jamás,Bisexual o queer,,,"Buzzconf, meetups varias",51-100,Servicios / Consultoría de Software / Digital,9,6,8,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Gimnasios gratuitos / subvencionados, Horarios flexibles, Licencia de paternidad/maternidad extendida, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, WFH (Trabajar desde casa)",
Hombre,32,Ciudad Autónoma de Buenos Aires,12,0,2,0,Terciario,Incompleto,Analista de Sistemas,IRSO,"Sí, de forma particular, Sí, los pagó un empleador",No,Sí,BI Analyst / Data Analyst,Windows Server,SQL,,"IBM Db2, Microsoft Azure (Tables, CosmosDB, SQL, etc), MSSQL",,"Notepad++, Visual Studio",Windows,Android,No,0,Bruto,Tercerizado (trabajo a través de consultora o agencia),51600,43000,1,1,No,No recibo bono,Uno,7.5,1,Jamás,Heterosexual,,No,AWS,101-200,Servicios / Consultoría de Software / Digital,7,7,55,"Capacitaciones y/o cursos, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Snacks, golosinas, bebidas",
Hombre,33,Ciudad Autónoma de Buenos Aires,10,6,6,0,Terciario,Completado,Analista Programador,ESBA - Escuela Superior Buenos Aires,"Sí, de forma particular",No,No,BI Analyst / Data Analyst,"HP-UX, Linux",Bash/Shell,,,,,Windows,iOS,"Sí, pasiva",1600,Bruto,Full-Time,51699,42000,2,2,De uno a tres sueldos,Dia del telefonico y Productividad que se cobra siempre sin importar resultados,Dos,16,6,Jamás,Heterosexual,,,,10001+,Servicios / Consultoría de Software / Digital,4,6,5,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Clases de idiomas, Gimnasios gratuitos / subvencionados, Licencia de paternidad/maternidad extendida","mercadolibre, google, iunigo"
Hombre,30,Córdoba,2,2,2,0,Universitario,Completado,Licenciatura en Ciencias dela Computación,UNSL,"Sí, los pagó un empleador",No,No,Developer,"Docker, VMWare",Java,J2EE,custom SQL,"JUnit, Postman","IntelliJ, Visual Studio Code",Windows,Android,No,0,Porcentaje de mi sueldo,Full-Time,51820,42688,2,1,Un sueldo,Mix de las anteriores,Uno,10,6,En un trabajo anterior,Heterosexual,,,,201-500,Producto basado en Software,8,6,11,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Gimnasios gratuitos / subvencionados, Descuentos varios (Clarín 365, Club La Nación, etc), Estacionamiento gratuito / subvencionado, Guardería, Horarios flexibles, Masajes, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)",Third Love. Olapic. Tarjeta Naranja.
Hombre,31,Santa Fe,10,7,5,8,Posgrado,Completado,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,Sí,Technical Leader,"Firebase, Linux","CSS, HTML, Java, Javascript, Kotlin, PHP, SQL","Angular, Bootstrap, Drupal, Flutter, Laravel, WordPress","MariaDB, MongoDB, MySQL",,"Android Studio, Sublime Text",Mac OS X,Android,No,0,Porcentaje de mi sueldo,Full-Time,52000,35000,3,3,No,No recibo bono,Dos,20,5,Jamás,Heterosexual,,,,11-50,Servicios / Consultoría de Software / Digital,8,8,15,"Comidas pagas / subvencionadas, Horarios flexibles, WFH (Trabajar desde casa)",
Hombre,31,Tucumán,6,3,3,0,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,No,No,Sí,Developer,,"C#, Delphi",,Oracle,,,Windows,Android,"Sí, activa",1400,Neto,Full-Time,52000,37000,2,3,Un sueldo,Mix de las anteriores,Uno,30,2,En un trabajo anterior,Heterosexual,,,,101-200,Producto basado en Software,8,10,1.5,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Gimnasios gratuitos / subvencionados, Estacionamiento gratuito / subvencionado, Horarios flexibles, Lactario en la oficina, Licencia de paternidad/maternidad extendida, Snacks, golosinas, bebidas, Viajes al exterior, Viáticos, WFH (Trabajar desde casa)",
Hombre,30,Santa Fe,6,3,3,0,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, los pagó un empleador",No,No,"Analis, Desarrollo y soporte",Windows Server,GENEXUS,.NET Core,MSSQL,.,.,Windows,Android,"Sí, pasiva",5500,Bruto,Full-Time,52000,40000,3,3,Menos de un sueldo,Performance individual,Uno,6,6,Jamás,Heterosexual,,,evento Genexus 2018,51-100,Otras industrias,7,9,3,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, etc), Playroom, WFH (Trabajar desde casa)",
Hombre,34,Ciudad Autónoma de Buenos Aires,12,11,11,0,Terciario,Completado,Analista de Sistemas,Instituto Scalabrini Ortiz,"Sí, de forma particular, Sí, los pagó un empleador",No,No,SysAdmin / DevOps / SRE,"Linux, Windows Server",,,"MariaDB, MSSQL",,"Nano, Notepad++",Windows,Android,No,0,Bruto,Full-Time,52000,41000,3,3,Menos de un sueldo,Proyecto finalizado,Dos,20,6,Jamás,Heterosexual,,No,adminfest,11-50,Producto basado en Software,9,8,5,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)",
